fonction,localisation,experience,management,diplome,secteur,salaire_min_k,salaire_moyen_k,salaire_max_k,note,source
Chief Data Officer,Île-de-France,3 ans,Pas de management,Bac +5,DeepTech,"69,65 K€","77,39 K€","96,74 K€",effectif,DataRecrutement
Chief Data Officer,Île-de-France,4 ans,Pas de management,Bac +5,DeepTech,"74,56 K€","82,84 K€","103,55 K€",effectif,DataRecrutement
Chief Data Officer,Île-de-France,5 ans,Pas de management,Bac +5,DeepTech,"79,46 K€","88,29 K€","110,36 K€",effectif,DataRecrutement
Chief Data Officer,Île-de-France,8 ans,Pas de management,Bac +5,DeepTech,"94,18 K€","104,64 K€","130,80 K€",effectif,DataRecrutement
Chief Data Officer,Île-de-France,10 ans,Pas de management,Bac +5,DeepTech,"103,99 K€","115,54 K€","144,43 K€",effectif,DataRecrutement
Chief Data Officer,Île-de-France,15 ans,Pas de management,Bac +5,DeepTech,"128,51 K€","142,79 K€","178,49 K€",effectif,DataRecrutement
Chief Data Officer,Île-de-France,30 ans,Pas de management,Bac +5,DeepTech,"202,09 K€","224,54 K€","280,68 K€",effectif,DataRecrutement
Talent Acquisition Manager,Île-de-France,0 ans,Pas de management,Bac +5,DeepTech,"41,33 K€","45,92 K€","57,40 K€",effectif,DataRecrutement
Talent Acquisition Manager,Île-de-France,1 ans,Pas de management,Bac +5,DeepTech,"43,21 K€","48,02 K€","60,02 K€",effectif,DataRecrutement
Talent Acquisition Manager,Île-de-France,2 ans,Pas de management,Bac +5,DeepTech,"45,10 K€","50,11 K€","62,64 K€",effectif,DataRecrutement
Talent Acquisition Manager,Île-de-France,3 ans,Pas de management,Bac +5,DeepTech,"46,98 K€","52,21 K€","65,26 K€",effectif,DataRecrutement
Talent Acquisition Manager,Île-de-France,4 ans,Pas de management,Bac +5,DeepTech,"48,87 K€","54,30 K€","67,88 K€",effectif,DataRecrutement
Talent Acquisition Manager,Île-de-France,5 ans,Pas de management,Bac +5,DeepTech,"50,76 K€","56,40 K€","70,49 K€",effectif,DataRecrutement
Talent Acquisition Manager,Île-de-France,8 ans,Pas de management,Bac +5,DeepTech,"56,41 K€","62,68 K€","78,35 K€",effectif,DataRecrutement
Talent Acquisition Manager,Île-de-France,10 ans,Pas de management,Bac +5,DeepTech,"60,18 K€","66,87 K€","83,59 K€",effectif,DataRecrutement
Talent Acquisition Manager,Île-de-France,15 ans,Pas de management,Bac +5,DeepTech,"69,61 K€","77,35 K€","96,68 K€",effectif,DataRecrutement
Talent Acquisition Manager,Île-de-France,30 ans,Pas de management,Bac +5,DeepTech,"97,90 K€","108,77 K€","135,97 K€",effectif,DataRecrutement
Architecte,Île-de-France,0 ans,Pas de management,Bac +5,DeepTech,"47,19 K€","52,43 K€","65,54 K€",effectif,DataRecrutement
Architecte,Île-de-France,1 ans,Pas de management,Bac +5,DeepTech,"49,34 K€","54,83 K€","68,53 K€",effectif,DataRecrutement
Architecte,Île-de-France,2 ans,Pas de management,Bac +5,DeepTech,"51,50 K€","57,22 K€","71,52 K€",effectif,DataRecrutement
Architecte,Île-de-France,3 ans,Pas de management,Bac +5,DeepTech,"53,65 K€","59,61 K€","74,51 K€",effectif,DataRecrutement
Architecte,Île-de-France,4 ans,Pas de management,Bac +5,DeepTech,"55,80 K€","62,00 K€","77,50 K€",effectif,DataRecrutement
Architecte,Île-de-France,5 ans,Pas de management,Bac +5,DeepTech,"57,96 K€","64,40 K€","80,49 K€",effectif,DataRecrutement
Architecte,Île-de-France,8 ans,Pas de management,Bac +5,DeepTech,"64,42 K€","71,57 K€","89,47 K€",effectif,DataRecrutement
Architecte,Île-de-France,10 ans,Pas de management,Bac +5,DeepTech,"68,72 K€","76,36 K€","95,45 K€",effectif,DataRecrutement
Architecte,Île-de-France,15 ans,Pas de management,Bac +5,DeepTech,"79,49 K€","88,32 K€","110,40 K€",effectif,DataRecrutement
Architecte,Île-de-France,30 ans,Pas de management,Bac +5,DeepTech,"111,78 K€","124,20 K€","155,25 K€",effectif,DataRecrutement
Back-end engineer,Île-de-France,0 ans,Pas de management,Bac +5,DeepTech,"42,52 K€","47,25 K€","59,06 K€",effectif,DataRecrutement
Back-end engineer,Île-de-France,1 ans,Pas de management,Bac +5,DeepTech,"44,46 K€","49,40 K€","61,76 K€",effectif,DataRecrutement
Back-end engineer,Île-de-France,2 ans,Pas de management,Bac +5,DeepTech,"46,40 K€","51,56 K€","64,45 K€",effectif,DataRecrutement
Back-end engineer,Île-de-France,3 ans,Pas de management,Bac +5,DeepTech,"48,34 K€","53,72 K€","67,14 K€",effectif,DataRecrutement
Back-end engineer,Île-de-France,4 ans,Pas de management,Bac +5,DeepTech,"50,28 K€","55,87 K€","69,84 K€",effectif,DataRecrutement
Back-end engineer,Île-de-France,5 ans,Pas de management,Bac +5,DeepTech,"52,22 K€","58,03 K€","72,53 K€",effectif,DataRecrutement
Back-end engineer,Île-de-France,8 ans,Pas de management,Bac +5,DeepTech,"58,04 K€","64,49 K€","80,62 K€",effectif,DataRecrutement
Back-end engineer,Île-de-France,10 ans,Pas de management,Bac +5,DeepTech,"61,92 K€","68,81 K€","86,01 K€",effectif,DataRecrutement
Back-end engineer,Île-de-France,15 ans,Pas de management,Bac +5,DeepTech,"71,63 K€","79,58 K€","99,48 K€",effectif,DataRecrutement
Back-end engineer,Île-de-France,30 ans,Pas de management,Bac +5,DeepTech,"100,73 K€","111,92 K€","139,90 K€",effectif,DataRecrutement
Front-end engineer,Île-de-France,0 ans,Pas de management,Bac +5,DeepTech,"42,47 K€","47,19 K€","58,99 K€",effectif,DataRecrutement
Front-end engineer,Île-de-France,1 ans,Pas de management,Bac +5,DeepTech,"44,41 K€","49,34 K€","61,68 K€",effectif,DataRecrutement
Front-end engineer,Île-de-France,2 ans,Pas de management,Bac +5,DeepTech,"46,35 K€","51,50 K€","64,37 K€",effectif,DataRecrutement
Front-end engineer,Île-de-France,3 ans,Pas de management,Bac +5,DeepTech,"48,28 K€","53,65 K€","67,06 K€",effectif,DataRecrutement
Front-end engineer,Île-de-France,4 ans,Pas de management,Bac +5,DeepTech,"50,22 K€","55,80 K€","69,75 K€",effectif,DataRecrutement
Front-end engineer,Île-de-France,5 ans,Pas de management,Bac +5,DeepTech,"52,16 K€","57,96 K€","72,44 K€",effectif,DataRecrutement
Front-end engineer,Île-de-France,8 ans,Pas de management,Bac +5,DeepTech,"57,97 K€","64,41 K€","80,52 K€",effectif,DataRecrutement
Front-end engineer,Île-de-France,10 ans,Pas de management,Bac +5,DeepTech,"61,85 K€","68,72 K€","85,90 K€",effectif,DataRecrutement
Front-end engineer,Île-de-France,15 ans,Pas de management,Bac +5,DeepTech,"71,54 K€","79,49 K€","99,36 K€",effectif,DataRecrutement
Front-end engineer,Île-de-France,30 ans,Pas de management,Bac +5,DeepTech,"100,60 K€","111,78 K€","139,73 K€",effectif,DataRecrutement
Full stack engineer,Île-de-France,0 ans,Pas de management,Bac +5,DeepTech,"42,90 K€","47,67 K€","59,58 K€",effectif,DataRecrutement
Full stack engineer,Île-de-France,1 ans,Pas de management,Bac +5,DeepTech,"44,86 K€","49,84 K€","62,30 K€",effectif,DataRecrutement
Full stack engineer,Île-de-France,2 ans,Pas de management,Bac +5,DeepTech,"46,82 K€","52,02 K€","65,02 K€",effectif,DataRecrutement
Full stack engineer,Île-de-France,3 ans,Pas de management,Bac +5,DeepTech,"48,77 K€","54,19 K€","67,74 K€",effectif,DataRecrutement
Full stack engineer,Île-de-France,4 ans,Pas de management,Bac +5,DeepTech,"50,73 K€","56,37 K€","70,46 K€",effectif,DataRecrutement
Full stack engineer,Île-de-France,5 ans,Pas de management,Bac +5,DeepTech,"52,69 K€","58,54 K€","73,18 K€",effectif,DataRecrutement
Full stack engineer,Île-de-France,8 ans,Pas de management,Bac +5,DeepTech,"58,56 K€","65,07 K€","81,33 K€",effectif,DataRecrutement
Full stack engineer,Île-de-France,10 ans,Pas de management,Bac +5,DeepTech,"62,47 K€","69,42 K€","86,77 K€",effectif,DataRecrutement
Full stack engineer,Île-de-France,15 ans,Pas de management,Bac +5,DeepTech,"72,26 K€","80,29 K€","100,36 K€",effectif,DataRecrutement
Full stack engineer,Île-de-France,30 ans,Pas de management,Bac +5,DeepTech,"101,62 K€","112,91 K€","141,14 K€",effectif,DataRecrutement
C++ engineer,Île-de-France,0 ans,Pas de management,Bac +5,DeepTech,"42,47 K€","47,19 K€","58,99 K€",effectif,DataRecrutement
C++ engineer,Île-de-France,1 ans,Pas de management,Bac +5,DeepTech,"44,41 K€","49,34 K€","61,68 K€",effectif,DataRecrutement
C++ engineer,Île-de-France,2 ans,Pas de management,Bac +5,DeepTech,"46,35 K€","51,50 K€","64,37 K€",effectif,DataRecrutement
C++ engineer,Île-de-France,3 ans,Pas de management,Bac +5,DeepTech,"48,28 K€","53,65 K€","67,06 K€",effectif,DataRecrutement
C++ engineer,Île-de-France,4 ans,Pas de management,Bac +5,DeepTech,"50,22 K€","55,80 K€","69,75 K€",effectif,DataRecrutement
C++ engineer,Île-de-France,5 ans,Pas de management,Bac +5,DeepTech,"52,16 K€","57,96 K€","72,44 K€",effectif,DataRecrutement
C++ engineer,Île-de-France,8 ans,Pas de management,Bac +5,DeepTech,"57,97 K€","64,41 K€","80,52 K€",effectif,DataRecrutement
C++ engineer,Île-de-France,10 ans,Pas de management,Bac +5,DeepTech,"61,85 K€","68,72 K€","85,90 K€",effectif,DataRecrutement
C++ engineer,Île-de-France,15 ans,Pas de management,Bac +5,DeepTech,"71,54 K€","79,49 K€","99,36 K€",effectif,DataRecrutement
C++ engineer,Île-de-France,30 ans,Pas de management,Bac +5,DeepTech,"100,60 K€","111,78 K€","139,73 K€",effectif,DataRecrutement
C# engineer,Île-de-France,0 ans,Pas de management,Bac +5,DeepTech,"44,19 K€","49,10 K€","61,37 K€",effectif,DataRecrutement
C# engineer,Île-de-France,1 ans,Pas de management,Bac +5,DeepTech,"46,20 K€","51,34 K€","64,17 K€",effectif,DataRecrutement
C# engineer,Île-de-France,2 ans,Pas de management,Bac +5,DeepTech,"48,22 K€","53,58 K€","66,97 K€",effectif,DataRecrutement
C# engineer,Île-de-France,3 ans,Pas de management,Bac +5,DeepTech,"50,24 K€","55,82 K€","69,77 K€",effectif,DataRecrutement
C# engineer,Île-de-France,4 ans,Pas de management,Bac +5,DeepTech,"52,25 K€","58,06 K€","72,57 K€",effectif,DataRecrutement
C# engineer,Île-de-France,5 ans,Pas de management,Bac +5,DeepTech,"54,27 K€","60,30 K€","75,37 K€",effectif,DataRecrutement
C# engineer,Île-de-France,8 ans,Pas de management,Bac +5,DeepTech,"60,32 K€","67,02 K€","83,77 K€",effectif,DataRecrutement
C# engineer,Île-de-France,10 ans,Pas de management,Bac +5,DeepTech,"64,35 K€","71,50 K€","89,37 K€",effectif,DataRecrutement
C# engineer,Île-de-France,15 ans,Pas de management,Bac +5,DeepTech,"74,43 K€","82,70 K€","103,37 K€",effectif,DataRecrutement
C# engineer,Île-de-France,30 ans,Pas de management,Bac +5,DeepTech,"104,67 K€","116,30 K€","145,37 K€",effectif,DataRecrutement
Intégrateur web,Île-de-France,0 ans,Pas de management,Bac +5,DeepTech,"37,47 K€","41,64 K€","52,05 K€",effectif,DataRecrutement
Intégrateur web,Île-de-France,1 ans,Pas de management,Bac +5,DeepTech,"39,18 K€","43,53 K€","54,42 K€",effectif,DataRecrutement
Intégrateur web,Île-de-France,2 ans,Pas de management,Bac +5,DeepTech,"40,89 K€","45,43 K€","56,79 K€",effectif,DataRecrutement
Intégrateur web,Île-de-France,3 ans,Pas de management,Bac +5,DeepTech,"42,59 K€","47,33 K€","59,16 K€",effectif,DataRecrutement
Intégrateur web,Île-de-France,4 ans,Pas de management,Bac +5,DeepTech,"44,30 K€","49,22 K€","61,53 K€",effectif,DataRecrutement
Intégrateur web,Île-de-France,5 ans,Pas de management,Bac +5,DeepTech,"46,01 K€","51,12 K€","63,90 K€",effectif,DataRecrutement
